sentence,letter
"Fabrice, d'abord étonné, puis furieux, ne comprenant absolument rien à ce qui lui arrivait, passa trente-trois longues journées dans cette misérable prison ; il écrivait lettres sur lettres au commandant de la place, et c'était la femme du geôlier, belle Flamande de trente-six ans, qui se chargeait de les faire parvenir.",C
"En effet, même si vous ne souhaitez pas acheter quelque chose, il est toujours intéressant de passer du temps dans les centres commerciaux",B
"La seule personne qui le comprenne vraiment, c'est son grand-père, avec lequel il passe de longues heures à bricoler dans la petite maison du jardin.",B
"Après avoir lutté contre la philosophie de la réflexion, Hegel doit donc entreprendre une lutte contre la philosophie du romantisme.",C
Elle fait face à de nombreux défis et elle les relève.,A
La famille Chanel découvre la maison dans laquelle elle va passer sa première semaine de vacances.,A
"Il savait déjà qu'il faut éviter les aliments grossiers, les lourdes venaisons et les boissons fermentées ; il connaissait aussi l'influence bienfaisante des bains fréquents, qui gardent la peau saine et reposent des fatigues.",C
"Lorsqu'elle me vit, ses paroles s'arrêtèrent sur ses lèvres ; elle demeura tout interdite ?",C
"Pourtant, il reste, dans le monde de la science, quelques domaines qui semblent réservés aux hommes.",B
J'ai souscris un abonement hebdomadaire à un magazine de cuisine.,A
"Les cadeaux seront déposés à son pied, le soir du 24 ou le 25 décembre au matin",B
"Une semaine après le drame, il s'agit de limiter les dégâts",B
"Nous nous interrogeons sur le soutien moral et financier des pouvoirs publics à une campagne de sensibilisation dont le message (""Achetez du café qui vous permette de dormir tranquille"", encart publicitaire de la marque Max Havelaar France) suinte la vieille culture coloniale qui marque encore aujourd'hui nos imaginaires collectifs et notre rapport au monde: le rôle de l'État est-il de financer des opérations de ""communication éthique"" d'enseignes multinationales?",C
"Comme le révélait récemment la police italienne, les réseaux de prostitution, les trafiquants d'armes et les vendeurs de drogue utilisent de plus en plus le logiciel de téléphonie par Internet.",C
"Quelques sermons de quelques hypocondriaques sont-ils à ce point, parvenus à déconcilier l'Algérien avec sa santé ?",B
"De délicieux petits beignets tendres et croustillants à la fois, une recette idéale pour voyager sous le soleil des tropiques",C
Ils sont au lycée français.,B
"Si l'individualisme repose sur le culte de chacun pour soi, l'individualisation correspond à une culture du choix, chacun affirmant son autonomie, sa capacité d'orienter son action sans être contrôlé ou contraint.",C
Les parents qui ont du mal à couper le cordon s'étonnent que leurs enfants préfèrent brancher leur boîte vocale et ne répondent pas à leurs appels.,B
Vous avez été une femme très admirée à l'époque.,A
"Dans d'autres cas il s'agit de limites relatives, basées sur un taux de croissance démographique de référence, valables là aussi uniquement hors centres ou pondérées en fonction du degré de centralité.",C
"C'est à la fin du XIXe siècle que les scientifiques commencent à s'intéresser, de manière raisonnée , aux capacités intellectuelles des hommes et des femmes.",C
Je suis venu dès que j'ai appris la nouvelle.,A
"Cependant, nous continuons de parler anglais à la maison, car mes parents ne veulent pas que je perde ma langue natale.",A
L'inspecteur a trouvé des preuves.,A
Il goûta cette sauce aussitôt que tu la eus préparée.,A
Ils furent allés acheter une panoplie de produits d'entretien pour décrasser leur garage.,B
"Parfois, ma grand-mère Marie l'invite à la maison pour le déjeuner.",A
Peux-tu m'aider?,A
"Larmoyante et enthousiasmante, aussi cheesy qu'agréable, un brin ringarde autant que brillante, la série propose quelque chose qui va complètement à contre-courant des séries contemporaines, complexes, sombres, souvent très conscientes d'elles-mêmes, mais renoue avec un aspect primordial : la proximité bientôt familière avec des personnages qu'on a envie de suivre jusqu'au bout de leur histoire.",C
Je vais prendre la formule à 15 euros.,A
"Si nous avions plus d'argent, nous achèterions un tableau de Matisse.",B
"Sur le plan sociodémographique, ils ressemblent aux ménages non issus de la migration; sur le plan économique, ils se rapprochent plutôt des ménages issus de la migration.",C
"Et pour les enfants, des ateliers de pâtisserie se dérouleront chaque jour tout au long de la journée",A
J'ai décidé de peindre les murs en jaune et d'y installer mon piano.,B
"Jusqu'à ce récit exceptionnel qu'est Migrations, premier roman de l'Australienne Charlotte McConaghy, sur des vies à bout de souffle.",C
"Prolongation de la vie, retard de la vieillesse, cessation des douleurs, moyens pour corriger les défauts naturels ou pour exalter les facultés intellectuelles, etc. : à faire luire tant de vains espoirs, ils ont fait naître un si violent préjugé contre toutes nouveautés de ce genre qu'elles en sont maintenant discréditées au point que nul mortel, même courageux, ne se hasarderait à entreprendre quelque chose de semblable.",C
"Des variations significatives de cet indice sur une période inférieure à plusieurs décennies sont peu probables en l'absence de réformes territoriales conséquentes, ce qui a été rarement le cas en Suisse après 2000 en comparaison internationale.",C
"Cela étant bien compris, je crois qu'on se tiendra en repos."" Comme Pascal, Edgar Morin cherche à désarçonner le rationaliste qui, au plein de la crise actuelle de notre rapport à la nature, ne doute ni de ses démarches ni de sa volonté d'imposer son ordre.",C
Elle a ouvert la porte de la maison.,A
Il se compose du thorax et de l'abdomen encore appelé ventre,B
"Voilà le chemin à suivre, finissons-en avec ce décalage inacceptable entre la cuisine d'en haut (consommée par une minorité) et la cuisine d'en bas, celle de la majorité silencieuse, débordante et insipide.",C
Les bévues du marquis del Dongo scandalisaient les employés et même arrêtaient la marche des affaires.,C
"Outre que cela favoriserait notre épanouissement, un peu de paresse sauverait-il le monde ?",B
Cette notion est très importante.,A
"En 2003, les Français ont ainsi flambé 30 milliards d'euros, pour le plus grand profit de l'industrie du secteur et de l'État croupier, qui prélève sa dîme.",C
"Dans une clairière enneigée, entourée d'arbres dénudés, une Citroën AX blance, bien fatiguée, attelée d'une remorque de type frigorifique, aurait l'air abandonnée si l'on ne distinguait quatre hommes aux cheveux très longs, assis dans la voiture.",C
La raison de cette ambivalence précède l'existence des robots et même leur nom: elle est culturelle et se cache dans le vieux mythe du Golem remis à l'honneur en Occident par Frankenstein de Mary Shelley en 1818.,C
"Quand le printemps arrive, les survivants comprennent qu'ils doivent se constituer des réserves pour survivre au prochain hiver",B
Je commande du poisson avec de la purée.,A
"Ensuite, suivre l'exemple des viticulteurs qui ont su, eux, se remettre en cause, opérant une réforme qui porte aujourd'hui ses fruits.",C
Il entendit un grand cri venant du fond des bois.,B
Serveur : y a-t-il un problème avec votre table ?,A
"Dans la tribu, on n'aime pas les enfants sans père, on dit que ce sont les enfants des mauvais esprits.",A
Il a demandé la raison de cette décision.,B
"En plus des animaux, il faut aussi s'occuper du potager de mon papy.",A
"Le verbe d'Adnane était entièrement vacciné contre les mots omniprésents de la langue de bois de l'époque, comme s'il avait des oreilles-passoires filtrant les mots des médias et des haut-parleurs plantés sur chaque quartier.",C
Elle ne travaille plus ici depuis quinze jours.,A
J'y suis allé hier en scooter.,A
"Dans certains pays, la prise de décision est aux mains d'un petit groupe de personnes ou de clans au sein du gouvernement qui considèrent les forêts primaires comme une source de revenus personnel à court terme, ce qui entraîne la conclusion de contrats rapportant principalement des bénéfices à l'investisseur et à certains fonctionnaires.",C
"Une femme n'envoie pas ses ""sentiments"" à un homme.",A
"Depuis plusieurs années, la présidente de la Seventh Generation Fund, une association de défense des droits autochtones, se bat pour la sauvegarde des bisons du parc de Yellowstone, la seule horde sauvage existant encore aux Etats-Unis.",C
Le revenu des enfants sous autorité parentale est ajouté à celui du détenteur de l'autorité parentale.,B
"Encore faut-il réfléchir aux changements lourds induits par ces nouvelles technologies sur le plan social, politique, collectif.",C
"Mets ça sur ton pied, ça va soulager la douleur.",A
"Une fois élu, VGE continue de rajeunir les codes",B
Je ne fais pas grand-chose à la maison.,A
"Selon un sondage publié en mai dernier par BVA (société française de sondages) et le Syntec Numérique (fédération professionnelle du secteur informatique) favorable à la mesure, 87 % des Français seraient même d'accord pour que la programmation informatique soient enseignée à l'école.",C
Je perdais mon temps : je ne faisais rien d'utile à la société moderne.,A
"Il avait toujours accordé, quelquefois prévenu mes demandes à cet égard.",C
Il n'est pas assez dur. Il est trop mou.,A
"Même si Limoges est une grande ville, elle n'a rien à voir avec Paris !",B
"Certes pas dans les restaurants étoilés où la qualité reste tout de même satisfaisante, à condition évidemment d'accepter de s'endetter pour les vingt prochaines années avant de déguster la dernière création du chef.",C
Vous allâtes dans une contrée lointaine pour tout oublier de vos erreurs passées dont seul le commun des mortels ignore.,C
Ces gens vivent en autarcie totale.,B
Bonjour à tous et bienvenue à la formation.,A
"De plus, l'évolution dans le temps des phénomènes engendre davantage des changements absolus dans les données que des changements relatifs impliquant des modifications du classement des cantons, aspect plus important dans une démarche de comparaison transversale comme la nôtre.",C
Vers une annulation des dettes africaines ?,A
"Elle aimait beaucoup le Congo, mais elle a dû renter en France au bout d'un an.",B
"Selon les services vétérinaires, la moitié des bisons de Yellowstone ont été exposés à la brucellose.",B
A bientôt !,A
"SpaceX, officiellement Space Exploration Technologies Corporation, est une entreprise américaine spécialisée dans le domaine de l'astronautique et du vol spatial.",C
"Mais ils sont arrivés en plein hiver, au mois de décembre 1620, et ne sont ni de grands agriculteurs ni de grands chasseurs",B
Le Président a promis qu'il tiendrait toutes ses promesses.,B
C'est une coalition hétéroclite qui a remporté la bataille du dimanche.,A
Je te présente Marie. C'est une amie.,A
Je passe par la Suisse.,A
On fait réparer ses chaussures,A
"Le lait collecté pour le roquefort est délimité dans un territoire d'un rayon de 100 kilomètres autour du village de Roquefort-sur-Soulzon situé dans l'Aveyron et nulle part ailleurs, sinon ce n'est plus du roquefort.",B
"Pourfendeur des sciences et des arts, fossoyeur de la propriété privée, contempteur de la monarchie, ce bonhomme, qui égratigne au passage les médecins, les femmes, les gens de lettres et les Anglais, sent le fagot.",C
Cette réponse me bouleversa.,B
"Nous avons interrogé en Belgique trente couples mixtes, c'est-à-dire composés de deux personnes de nationalités différentes.",B
Qu'est-ce que tu regardes ?,A
"Toutefois, ce système répond à des critères précis et exigeants, difficilement compatibles avec le développement à grande échelle auquel il est appelé.",C
"Cette indemnité devrait être obligatoire dans toutes les entreprises et collectivités où des salariés la demandent, explique Yoann Rouillac, président d'un groupe de travail sur le vélo.",C
L'important est que tu prennes du plaisir à écouter ces histoires.,A
Je suis bien arrivé à Londres,A
Je promène le chien de ma voisine qui est en vacances.,A
C'est le plat préféré de Manon,A
"""Friendly"" pour ""Amicalement"" est tout simplement un non-sens",A
Les efforts des derniers siècles pour réduire l'incertitude n'ont pas cessé en Europe.,B
La majorité des Français fête Pâques et considère cette date comme une occasion de se retrouver en famille pour partager un bon repas,B
Je mets tous mes efforts et toute mon énergie exclusivement dans le travail.,A
Prenons l'exemple du roquefort dont la fabrication remonte au moins au onzième siècle.,B
"La raison invoquée : la mise en péril du mode de vie ancestral du peuple Inuit, du fait des changements climatiques provoqués par les activités humaines.",C
"Il sait bien cuisiner alors en général, il prépare aussi le repas.",A
Il y a belle lurette que les entreprises françaises se sont délocalisées pour optimiser leurs coûts et s'ouvrir de nouveaux marchés,C
"Pour les couples déjà installés, et notamment ceux avec enfants, le problème du partage des tâches domestiques est accentué par une proximité ininterrompue.",C
"Excusez-moi, où est la gare ?",A
Un service précieux qui a sans doute permis de sauver des vies,B
"Et le vieux chef a toujours raison, car c'est le seul qui parle aux dieux.",B
"Limercati trouva ce projet d'un ridicule achevé, et la comtesse s'aperçut que chez elle le mépris avait tué l'amour.",B
"Le romancier, au contraire, qui prétend nous donner une image exacte de la vie, doit éviter avec soin tout enchaînement d'événements qui paraîtrait exceptionnel.",C
"Distrait, inattentif, ennuyé, je ne m'apercevais point de l'impression que je produisais, et je partageais mon temps entre des études que j'interrompais souvent, des projets que je n'exécutais pas, des plaisirs qui ne m'intéressaient guère, lorsqu'une circonstance, très frivole en apparence, produisit dans ma disposition une révolution importante.",C
"En juillet, ma famille et moi irons dans le Sud de la France.",A
J'aime les voyages et la littérature russe.,A
Les usines sont situées à Mattighofen au nord de Salzbourg.,B
J'irai le voir dès mon arrivée à Bruxelles.,A
Ils rentrèrent se reposer après qu'ils eurent fait le tour du lac en chaloupe,C
Je suis dentiste dans un nouveau cabinet depuis une semaine et j'aime mon travail,A
Alors se modifièrent rapidement les règles sévères qu'elle m'avait prescrites.,B
"De toute façon, chacun sait que, pour choisir son logement idéal, cela peut prendre plusieurs mois.",B
"Si je gagne suffisamment d'argent, je voyagerai en Europe tel un vagabond.",B
"De fait, les relations de l'individu au groupe, du privé au collectif, demeurent complexes dans l'Hexagone.",C
"Au niveau national, la part de patients en réanimation parmi tous ceux qui sont hospitalisés a augmenté ces dernières semaines.",B
"Il s'établit donc, dans le petit public qui m'environnait, une inquiétude vague sur mon caractère.",B
"En attribuant une valeur de flux potentiel aux liens du graphe, la segmentation fondée sur le critère de modularité aboutit à un découpage considéré comme optimal du point de vue de la dynamique démographique interne à chaque compartiment.",C
Sixtine nous a cassé les couilles sur le forum de gestion de projet.,B
L'une des plus emblématiques est Marie Sophie Germain.,A
Les baby-boomers en sont convaincus: tout peut recommencer à 50 ans.,B
Parce que jamais je céderai devant la barbarie.,A
Elle se laissait aller au bercement des mélodies et se sentait elle-même vibrer de tout son être comme si les archets des violons se fussent promenés sur ses nerfs.,C
Mon frère Patrice est plus jeune que moi,A
"Le 7 mars 1815, les dames étaient de retour, depuis l'avant-veille, d'un charmant petit voyage de Milan ; elles se promenaient dans la belle allée de platanes, récemment prolongée sur l'extrême bord barque parut, venant du côté de Côme, et fit des signes singuliers.",C
"Mais une différence apparaît en fin de cursus scolaire, les garçons prenant dans ce dernier domaine un avantage sur les filles.",B
"Cependant, les bougies de l'orchestre s'allumèrent ; le lustre descendit du plafond, versant, avec le rayonnement de ses facettes, une gaieté subite dans la salle ; puis les musiciens entrèrent les uns après les autres, et ce fut d'abord un long charivari de basses ronflant, de violons grinçant, de pistons trompettant, de flûtes et de flageolets qui piaulaient.",C
Votre amitié me soutenait : sans cette amitié je ne puis vivre.,A
Illusion du laid qui est une opinion changeante!,B
"Quand les couches-culottes usagées des maisons de retraite arrivent ici, elles sont jetées dans cette machine.",B
Je compte sur vous ainsi que sur vous tous !,A
"Après son enfance à Vinci, Léonard est élève auprès du célèbre peintre et sculpteur florentin Andrea del Verrocchio.",C
Mon petit frère a pris le bus public pour aller jouer au football avec ses copains.,A
"Entre-temps, après avoir réalisé un bénéfice, Piero acheta une plaque décorée d'un coeur transpercé d'une flèche qu'il donna au paysan.",B
Il pensait qu'un chef pouvait manger des pizzas et des frites tous les jours.,A
"Alors dans ce texte, vous avez attendu plusieurs expressions idiomatiques.",A
"""J'ai accepté la demande de Neera Tanden de retirer"" sa candidature, a annoncé Joe Biden dans un communiqué.",B
J'ai 36 ans.,A
"La liberté correspondrait donc à un sentiment intérieur, à une expérience immédiate en chaque homme",C
C'est comme ça tous les jours.,A
Et aussi grâce à la télévision parce qu'on regardait tous les soirs deux ou trois épisodes de mes séries préférées.,B
Des crèches vivantes y sont organisées et la paroisse se prépare pour la messe de minuit,B
"A 50-55 ans débute la deuxième vie adulte, à laquelle il faudra donner un nom, un statut, un contenu.",C
Oui ça va.,A
"La journée de dimanche a été particulièrement meurtrière avec au moins 18 morts dans les rangs des manifestants, d'après les Nations Unies.",B
"Et puis tu me connais, à force de sortir tous les soirs, je ne me repose pas beaucoup !",A
"Le Falcon 1 est un lanceur théoriquement réutilisable qui peut placer, selon son constructeur, 670 kg en orbite basse.",B
Je prends le train.,A
Mais les chiens et les chats ne s'aiment pas beaucoup .,A
"Mais la famille était tellement sympa, on rigolait beaucoup.",B
Je lui ai demandé ce que nous devions faire.,A
Je profite aussi du petit-déjeuner pour lire les infos en ligne,A
66 % des sympa-thisants de gauche y sont favorables contre 82 % des sympathisants de droite,C
J'aimerais que tu fermes la fenêtre avant de partir.,A
"Tous les dimanches, je vais faire mes courses au marché.",A
"Sur une sorte de haquet, deux futailles de vin posaient, car c'était pour fêter la surprise d'un petit convoi républicain que Charette avait accordé cette débauche à son armée.",C
Le pacha vient en aide à un serpent (le roi des serpents) car l'un des commandements du Coran est de faire preuve d'hospitalité ses hôtes.,B
"Oui, des feux de forêt qui frappent le sud-est du pays depuis le mois de septembre et qui ont fait une 24e victime ce week-end",B
"Et chez vous, comment va la vie ?",A
Un message d'urgence des pompiers vient de tomber :,A
"S'il était à l'origine destiné à surveiller le bétail, il est doux avec les enfants.",A
Des soirées étudiantes sur le thème d'Halloween sont organisées chaque année,B
Êtes-vous pour ou contre la création d'un lexique autochtone pour désigner les termes d'informatique d'origine anglophone?,C
"Un enchaînement de clichés gênants et agaçants, même quand on a beaucoup d'autodérision.",A
"Pour nous reposer, nous avons bu un verre en terrasse",A
Vous avez des enfants ?,A
"Le sapin trône au milieu du salon avec ses boules multicolores, ses guirlandes argentées son étoile dorée",B
Eviter d'importer de l'inflation et surtout contrôler le niveau de change du franc suisse par rapport aux grandes devises internationales et notamment face à l'euro et au dollar.,B
Vous étudiiez sérieusement et vous réussissiez sans le moindre effort de votre part.,A
Il a un appartement,A
"À mi-parcours, il doit souvent faire demi-tour.",B
Elle est entrée.,A
"""avoir compassion de"" signifie ""avoir de la pitié, de la sympathie"" envers quelqu'un.",A
Idem pour ceux qui les élisent.,A
"Vous ne vous rendez pas compte, monsieur, j'ai douze ans et demi, et je n'ai rien fait.",A
Faire en sorte que l'ineffable nous devienne familier tout en gardant ses racines fabuleuses.,C
Tu es toujours étudiant ?,A
"Homme de réseaux, le vagabond n'a pas coupé les liens avec le pays, qu'il maintient grâce au solide maillage des postes européennes.",B
Salut!,A
Ce dépassement rétroactif de la Renaissance européenne a pour conséquence l'abandon du modèle évolutionniste linéaire tel que l'Europe des Lumières puis le positivisme du XIXe siècle l'avaient formalisé.,C
Il y a eu beaucoup de spectateurs et tout le monde a bien aimé la Fête.,A
"Confronté avec rien de pire qu'un général en cuir crissant et ces mouvements légèrement percutants qui sont communs aux personnages militaires, lesquels semblent aspirer l'air au- dedans, sentent la poudre à canon et la chair de cheval, et, bien que léthargiques, ont l'air prêts à participer à une guerre encore indéterminée (type d'hommes pour lequel Hedwige s'était senti beaucoup d'inclination), Guido avait été secoué d'un tremblement invisible.",C
"Un escalier nous conduisit à une large coursive en hauteur qui faisait le tour du bâtiment, desservant une succession de bureaux.",C
Vous avez bien entendu ce que le professeur a dit avant?,A
"Tout en haut de la tour Eiffel, il y a des antennes qui émettent les programmes de radio et de télévision",B
C'est comme ça qu'est née l'association Éco Cocotte,A
"Des chiffres tirés d'une des rares enquêtes sur le sujet, réalisée en 2000 (publiée en 2001) par l'Institut de recherche sur l'économie de l'éducation auprès des parents de 2 500 enfants de l'académie.",C
"Outre les économies substantielles que permet une telle collaboration, les entreprises bénéficient désormais de jeunes formés à leurs besoins spécifiques.",C
Il y a douze milles entre la cabane du pêcheur et la ville.,B
On se revoit après que vous passez votre entretien dans l'entreprise.,A
Où irons-nous en vacances l'année prochaine ?,A
"Des réseaux nationaux, puis internationaux, se sont créés pour fournir des informations à leurs membres, préparer des campagnes de sensibilisation, voire faire du lobbying.",C
"Un bel organe, un imperturbable aplomb, plus de tempérament que d'intelligence et plus d'emphase que de lyrisme, achevaient de rehausser cette admirable nature de charlatan, où il y avait du coiffeur et du toréador.",C
"Aujourd'hui, j'ai mangé une mousse au chocolat parce que je ne suis pas à la diète.",A
La perspective de longues négociations pourrait peser sur l'investissement et la confiance des entreprises.,B
Le héros est mort à la fin du film.,B
En Suisse les personnes physiques peuvent être assujetties à l'impôt sur le revenu et la fortune en raison de leurs liens personnels ou leur rattachement économique avec la Suisse.,C
"Le restaurant ""Bon appétit"" recherche des serveurs pour l'été.",A
"La gouvernante avait le nez bossué de verrues qui faisaient penser à des taupinières et les joues creuses, de larges sillons, comme les champs, après les labours d'octobre.",C
Il va à l'école des petits.,A
"Globalement, presque une personne sur cinq (18, 9%) vit dans un ménage avec au moins un type d'arriéré de paiement et 10, 0% avec au moins deux types d'arriérés de paiement, le pourcentage de la population avec un ou deux types d'arriérés de paiement dimunant avec l'âge, le niveau de formation et les revenus.",C
C'est haut là-haut !,A
"En prenant des cours, tu apprendrais plus vite.",A
Claude HAGÈGE est Professeur au Collège de France et Directeur d'études à l'École Pratique des Hautes Études,B
C'est incroyable qu'il ait fait si beau au mariage de ta soeur l'été dernier!,B
"Le dimanche, nous aimons nous promener en famille dans la forêt proche de notre maison et faire des jeux",B
"Pour chaque histoire, j'écoute l'audio et dans le même moment j'écris ce que je comprends.",B
Je vais prendre ma douche dans ma salle-de-bain.,A
J'ai un colis pour votre voisine mais elle n'est pas là.,A
"Mais qu'ils prétendent être les seuls acteurs légitimes pour définir et normaliser le commerce équitable, c'est nier les autres pratiques et refuser le débat avec tous les acteurs de la société civile, ce qui est inadmissible.",B
"À ce compte-là, les cours de langue au collège pourraient être profitablement remplacés par des séances de mémorisation de l'annuaire",C
"Je réponds toujours que ça n'a pas été difficile physiquement, mais que j'ai dû travailler sur l'image que donnait ce comique.",B
"A cette occasion, les enfants offrent des cadeaux à leur mère mais aussi de jolis oeillets.",B
"Du fond de la ténèbre verte, toute criblée de gouttes de lumière, une petite forme humaine, pelotonnée dans son élan, déboula comme un lièvre.",C
"Forts des expériences, parfois malheureuses, de leurs aînés, certains jeunes anticipent.",C
"Après tout, la façon dont ont s'habille fait partie de sa personnalité, non?",B
Mon ami ne répond pas au téléphone.,A
"Dans cet extrait, Dieu lie la souffrance au travail de manière puissante car il s'agit en quelque sorte d'une malédiction prononcée par cet être divin",C
Le plat plein ploie sous le poids ou ne ploie point ?,A
"Mais le lendemain elle riait comme la veille : c'étaient les doléances de la marquise, sa bellesoeur, qui produisaient ces impressions sombres sur cette âme naturellement si agissante.",C
Je vais m'en occuper.,A
"Ancien sénateur pendant plus de 35 ans, le démocrate se targue de connaître la maison et de vouloir chercher des accords entre partis au Congrès.",B
Vous joindrez à votre formulaire les pièces justificatives et documents sous format numérique.,B
"À proscrire également : les hypocrites qui portent leurs enfants en écharpe pour donner une image positive de leur conception de leur paternité, mais ne font guère que ça, estimant avoir fait leur part une fois rentrés à la maison.",C
Le maître et le chien doivent bien se connaître mais aussi et surtout bien se comprendre.,B
"Mais ce qui est extraordinaire, ce sont ses cheveux !",A
Peut-être que je devrais avancer un peu mon réveil pour éviter ça,A
"C'est sans doute parce qu'elles se figuraient les mérites esthétiques comme des objets matériels qu'un oeil ouvert ne peut faire autrement que de percevoir, sans avoir eu besoin d'en mûrir lentement des équivalents dans son propre coeur15.",C
"En 1902, pour éviter l'extinction, le parc national de Yellowstone (Wyoming) prend en charge vingt et un bisons : ils deviennent la première espèce animale protégée.",C
Il faudrait que tu lui parles de ça demain en réunion et que tu demandes à Adrian de m'envoyer une photo de lui et la traduction du contrat en croate,B
Je prends mon petit-déjeuner dans la cuisine.,A
C'est la jungle.,A
Je fais du sport tous les jours.,A
Je lui ferai découvrir les villes de Lyon et de Montpellier.,A
À bientôt.,A
Le chien n'est pas le seul à apprendre !,B
"Darren Star annonce qu'elle est ""inspirée de sa propre histoire d'amour qui dure depuis toujours avec Paris et la culture française"".",C
Travaillez par groupe de deux personnes.,B
"En quittant chaque étape, mes enfants dessinaient le lieu ou une personne qu'ils y avaient rencontrée",B
Je regarde les oiseaux à travers la fenêtre de ma chambre.,A
La compétence fiscale des communes est réduite car elle dépend du droit cantonal.,B
"Je grimpai jusqu'à mi-pente, démontai et, tenant l'arc à demi bandé, parvins en haut de la colline.",B
"S'il y a des nuages avec de la pluie sur la carte, c'est qu'il va pleuvoir et qu'il y a des risques de tempête ou de grêle",B
C'est un fait inquiétant qu'on constate dans toutes les capitales européennes : les touristes séjournent de plus en plus dans des appartements loués sur des sites internet.,B
"On est toujours sur des Zoom meetings, enfin moi, j'ai jamais l'occasion de regarder mon visage quand il est concentré",B
"Le mariage mixte apparaît comme le lieu privilégié ou les cultures s'affrontent, dialoguent et se fondent.",C
J'ai de la chance d'avoir vu le spectacle plus de 500 fois,A
"C'est pratique pour aller d'un centre commercial à un autre, pour aller à l'école, à la piscine, au stade ou encore au théâtre",A
Et parions que ces nouvelles technologies sauront créer un imaginaire tout aussi riche et fécond et pas seulement être des technologies au service de notre réalité.,C
"Ce qu'il aime par dessus tout, c'est le bricolage.",A
Papa raconte une histoire aux enfants pour les endormir.,A
Cet indicateur reflète le niveau de sollicitation des réanimations mais aussi le niveau de tension sur les capacités hospitalières en réanimation.,B
Ne cherchons donc point d'assurance et de fermeté.,B
"On dirait d'une caravane immense, d'une espèce de fantasia nautique, somptueusement bariolée, évoluant, aux derniers feux du soleil, sur la tranquille splendeur des eaux.",C
Puis-je vous proposer un massage en attendant le départ de l'avion?.,A
"Quand elles se furent aperçues de leur erreur, elles rougirent.",C
"700 000 tonnes de couches usagées sont jetées chaque année au Japon, ce qui représente jusqu'à 25 % des déchets incinérés dans certaines communes.",B
Qu'est-ce que vous voulez ?,A
L'objectif de ce type de voyage est d'être actif et non pas un touriste passif qui visite sans vraiment découvrir la vie et les habitudes locales.,B
"Et sans doute encore, le romantisme allemand dans lequel ces mouvements de l'esprit vont trouver comme une fluide cristalli- sation ne se présente pas au premier abord comme conscience malheureuse, ainsi que le fait le romantisme français.",C
Moi je suis pas vraiment d'accord avec ce que dit Monsieur.,A
Tu dois te couper les ongles.,A
"Il accepte les différences, il est tolérant.",A
"Le duo n'a pas grand chose en commun, mis à part ses positions relativement conservatrices, qui lui vaut les foudres des progressistes.",C
Où se trouve le supermarché?,B
Huit photons au moins sont nécessaires pour permettre la réduction d'une molécule de dioxyde de carbone par l'eau.,B
Le bulletin de notes du gouvernement a piètre allure.,A
"Je sais qu'elle est souvent seule à la maison, et que le soir il rentre très tard.",A
Je suis chez Camille,A
C'est sympa de ta part.,A
Les normes européennes sont absurdes et nous étouffent.,B
"La vie, c'est comme une boîte de chocolats : on ne sait jamais sur quoi on va tomber.",A
"En 2007, moins de 8% des déchets des entreprises ont fait l'objet d'une collecte sélective. Un résultat largement inférieur à celui des déchets ménagers, qui forment la grande majorité des quelque 2 millions de tonnes de déchets électroniques produits chaque année en France, selon l'Agence de l'environnement et de la maîtrise d'énergie (Ademe).",C
Il n'a pas de veste,A
"Plus que jamais, ceux-ci auront le rôle essentiel de dénicher les vrais talents parmi les dizaines de milliers de prétendants qui, grâce au livre numérique, rêvent déjà d'être publiés facilement.",B
"Il a fait construire en plus une belle véranda contenant une bibliothèque, pour profiter du soleil et d'une vue sur le jardin",B
"Son inégale diffusion dans l'espace, son intensité variable commandent les transformations démographiques et sociales des populations et modifient a terme les paysages géographiques.",C
"Une heure plus tard, il donne à la tribu une chèvre sauvage qu'il vient de tuer.",A
À la semaine prochaine.,A
"Si tu étais moins bavard, les gens te confieraient plus de secrets intimes et confidentiels.",B
"Cette fois, c'est vous qui caricaturez !",A
Les vacances sont les moments préférés de Pierre car il a pour habitude d'aller chez ses grands-parents qui vivent dans une ferme de la campagne normande,B
Vous avez 10 minutes pour faire le test.,A
"L'année dernière, j'ai fait deux stages en entreprise.",A
Nous les mangeons ensemble le samedi soir.,A
La faiblesse des taux d'intérêt contribue à alimenter des risques liés aux expositions au secteur du logement.,C
"Avec sa nouvelle compagne de quatorze ans sa cadette, il dit ""vivre une renaissance"".",A
"On venait avec l'école chaque année, j'ai fait un stage de voile aussi un été.",A
On ne peut pas demander à l'école de tout changer.,A
Est-ce que tu lui as conseillé de manger dans ce restaurant ?,A
"Sans jamais préciser comment il s'approvisionne en papier, Kassák dessine, prend des notes et surtout écrit des poèmes qu'il envoie aux rédactions de journaux via une amie restée à Budapest.",B
Les importateurs s'engagent aussi à verser un acompte et à privilégier des relations commerciales durables avec les producteurs.,B
"En effet, même si vous ne souhaitez pas acheter quelque chose, il est toujours intéressant de passer du temps dans les centres commerciaux",B
Le couple a bien fait d'évacuer,A
Cela nécessite des équipements et suffsamment de place.,B
Rangez-vous sur le bas côté et éteignez votre moteur !,A
"Au café, le patron allume la télé à l'heure de l'émission : Les clients la regardent, chacun y va de son commentaire.",B
La réduction du dioxyde de carbone par l'eau nécessite un apport d'énergie assez élevé.,C
"Petit, il vivra d'abord dans une famille d'accueil qui lui donnera une première éducation.",A
